GiftId,TripId
81128,1
5604,1
87580,1
9795,1
84357,1
92682,1
64645,1
81208,1
38462,1
74647,1
38742,1
64674,1
84314,1
71696,1
71292,1
88815,1
62149,1
14765,1
96937,1
38313,1
69224,1
60794,1
85684,1
45439,1
87017,1
83253,1
60622,1
57068,1
73765,1
65000,1
27454,1
18777,1
22748,1
52162,1
61221,1
175,1
76625,1
8312,1
23872,1
42817,1
61054,1
97098,1
22300,1
40447,1
9933,1
45129,1
67338,1
89184,1
36231,1
72702,1
86893,1
91266,1
93094,1
7673,1
56337,1
17081,1
23453,1
72353,1
57757,1
35331,1
21193,1
58841,1
43219,1
87432,1
46061,1
86864,1
50502,1
93268,1
42237,1
87284,1
62746,1
60009,1
9666,1
40065,1
50324,1
58041,1
1223,2
89297,2
11984,2
84478,2
75685,2
63341,2
76088,2
22936,2
87668,2
89388,2
79794,2
40019,2
63650,2
63861,2
11111,2
45894,2
355,2
7281,2
79065,2
99250,3
31033,3
76530,3
15103,3
33769,4
5532,4
79560,4
83664,5
45400,5
52150,5
71025,5
11921,5
83408,5
71330,5
50873,5
42049,5
11877,5
69380,5
31567,5
6021,5
64390,5
84974,5
66160,5
90851,5
46935,6
94149,6
55753,6
65462,6
18291,6
63389,6
30038,6
23471,6
99615,6
80453,6
82120,6
77724,6
4754,6
50580,6
37519,6
4123,6
29278,6
63273,6
52414,6
92013,6
59804,6
5842,6
43352,6
35526,6
47573,6
33704,6
57434,6
45805,6
16034,6
32200,6
3093,6
93713,6
76394,7
62837,7
67195,7
36600,7
74403,7
21923,7
47954,7
95862,7
18854,7
54938,7
36259,7
37431,7
70590,7
64604,7
68780,7
257,7
51725,7
15333,7
51385,7
44520,7
66855,7
36573,7
68948,7
68974,7
99301,7
31730,7
61187,7
36627,7
30863,7
74094,7
12432,7
87532,7
63689,7
51778,7
31321,7
15100,7
42432,7
67659,7
14852,7
60549,8
68995,8
77688,8
59476,8
21280,8
45656,8
41800,8
8249,8
33472,8
61748,8
37922,8
8815,8
72898,8
69175,8
57743,8
94481,8
5644,8
14578,8
77786,8
43675,8
86358,8
63080,8
68581,8
87043,8
90814,8
35147,8
19941,8
67529,8
98435,8
67913,8
16963,8
88212,8
51370,8
43796,8
93692,8
74000,8
86070,8
81933,8
6266,8
34527,8
94332,8
26960,8
71056,8
37110,8
3104,8
41619,8
51157,8
32123,8
61364,8
33737,8
83649,8
53976,8
30515,8
40774,8
22194,8
27903,8
68814,8
43692,8
99785,9
59054,9
24860,9
8512,9
14605,9
40301,9
70005,9
63355,9
61462,9
90769,9
7499,9
46513,9
4280,9
97491,9
52533,9
46116,9
34239,9
70374,9
59672,9
88380,9
33839,9
86120,9
64006,9
55580,9
20890,9
32542,9
50489,9
59982,9
33521,9
44009,9
20883,9
79751,9
62386,9
5808,9
22411,9
79519,9
123,9
59710,9
22409,9
29907,9
20952,9
36741,9
32424,9
33498,9
80071,9
53893,9
69901,9
6054,9
16434,9
53649,9
94288,9
26772,9
93471,9
84358,9
40622,9
67268,9
54154,10
72991,10
63325,10
46191,10
25761,10
7870,10
18496,10
59196,10
68100,10
13328,10
23807,10
75200,10
42676,10
3783,10
55997,10
9799,10
14228,10
10315,10
26916,10
98921,10
17919,10
31210,10
20699,10
39053,10
65336,10
66834,10
51427,10
98642,10
99181,10
31902,10
79455,10
65017,10
46224,10
50053,10
60182,10
55346,10
8592,10
59914,10
30110,10
58878,10
2715,10
47723,10
30127,10
51689,10
36377,10
89982,10
92800,10
26208,10
5393,10
73381,10
47672,10
99662,10
52239,10
88963,10
66788,10
82828,10
97293,10
52416,10
6907,10
35224,10
11609,10
39554,10
41804,10
61109,10
1490,10
374,10
95067,11
33669,11
57154,11
22323,11
41133,11
63069,11
27429,11
26111,11
35915,11
64922,11
16458,11
64686,11
68617,11
87763,11
49812,11
41034,11
6279,11
47391,11
34253,11
78772,11
93721,11
48980,11
28247,11
60931,11
99535,11
57259,11
27153,11
50100,11
85184,11
33137,11
94571,11
11997,11
9080,11
47786,11
72655,11
7286,11
28572,11
24186,11
7473,11
63546,11
9195,11
50380,11
84805,11
28111,11
65106,11
42777,11
19531,11
21875,11
76464,11
50557,11
3787,11
38230,11
27352,11
57875,11
1618,11
42742,11
39968,11
74317,11
2157,11
35624,11
75308,11
4616,11
5052,11
88424,11
2764,11
51374,11
26191,11
70979,11
63416,11
17391,11
45055,11
32910,11
53584,11
21757,12
84298,12
7362,12
21550,12
31408,12
46743,12
82869,12
56433,12
47530,12
40196,12
68330,12
14151,12
15502,12
34528,12
16835,12
19586,12
19026,12
75376,12
56846,12
46189,12
1866,12
28437,12
61480,12
15059,12
88006,12
10685,12
75945,12
53462,12
30351,12
94581,12
45594,12
7715,12
10888,12
7720,12
60156,12
67314,12
79019,12
66854,12
74316,12
80572,12
54995,12
49504,12
89571,12
36849,12
35506,12
199,12
74544,12
58968,12
52238,12
37063,12
11790,12
50731,12
27598,12
46622,12
62830,12
53226,12
45228,12
65262,12
86007,12
39353,12
39026,12
64342,12
55026,12
44357,12
69505,12
28280,12
28102,12
60647,13
59838,13
50730,13
71308,13
5362,13
22120,13
48816,13
21174,13
92899,13
23054,13
23493,13
85131,13
63142,13
63803,13
86451,13
43621,13
74421,13
5621,13
71584,13
57717,13
69526,13
91719,13
22714,13
41569,13
10019,13
36024,13
98547,13
65126,13
53866,13
862,13
3458,13
75069,13
10196,13
76676,13
19071,13
89875,13
85463,13
65735,13
6566,13
88273,13
20481,13
87564,13
67621,13
86264,13
51895,13
8333,13
82046,13
54684,13
69820,13
14514,13
46411,13
44442,13
43827,13
14271,13
81722,13
40427,13
92592,13
87048,13
91841,13
67173,13
36731,13
76677,13
44217,13
54006,13
23150,13
21307,13
61127,13
15942,14
99400,14
40730,14
78066,14
9004,14
46299,14
11358,14
36537,14
59850,14
94642,14
19504,14
30531,14
87079,14
30630,14
56788,14
93116,14
4774,14
76363,14
5536,14
90589,14
93911,14
16368,14
28510,14
22116,14
40740,14
7712,14
75301,14
77109,14
16816,14
12083,14
52879,14
63394,14
41007,14
63916,14
33068,14
18647,14
22163,14
49773,14
81961,14
32286,14
38761,14
87892,14
66883,14
74681,14
49650,14
18809,14
77777,14
98429,14
9247,14
5084,14
93508,14
50,14
4670,14
72933,14
23315,14
43028,14
52747,14
4334,14
85902,14
53647,14
3367,14
24339,14
19148,14
18781,14
60253,14
59959,14
38733,14
98707,14
56680,14
81032,14
27140,14
42152,14
1690,14
13169,14
49732,14
85924,14
61451,15
92128,15
85110,15
28138,15
92853,15
99695,15
73537,15
27964,15
73300,15
85222,15
11745,15
52804,15
39795,15
89732,15
55798,15
74959,15
16010,15
86525,15
42208,15
17171,15
33537,15
45714,15
55329,15
95260,15
9296,15
47095,15
22621,15
21026,15
4538,15
15838,15
50311,15
3986,15
25180,15
27100,15
28016,15
85480,15
43691,15
33136,15
80594,15
92113,15
77238,15
30585,15
86411,15
83442,15
44708,15
26158,15
14371,15
22235,15
31398,15
35390,15
59218,15
52666,15
96401,15
8992,15
62487,15
2895,15
66875,15
62854,16
87535,16
64704,16
4004,16
4851,16
20838,16
90530,16
84232,16
3098,16
17414,16
48111,16
50533,16
80990,16
96942,16
43820,16
29185,16
39241,16
75236,16
57997,16
30638,16
47105,16
47065,16
80823,16
15246,16
25525,16
29080,16
67785,16
45696,16
43232,16
1864,16
45533,16
64678,16
3242,16
85568,16
62590,16
73331,16
14709,16
52481,16
43252,16
7746,16
55317,16
31638,16
78211,16
86418,16
82481,16
65712,16
58021,16
32316,16
42700,16
74121,16
79994,16
16804,16
16824,16
12068,16
41582,16
56773,16
81970,16
41583,16
28994,16
3295,16
96496,16
40687,16
82539,16
13531,17
98658,17
99702,17
83707,17
18656,17
64829,17
4556,17
99067,17
85717,17
7749,17
75440,17
35096,17
55744,17
31761,17
84593,17
54535,17
13579,17
87520,17
66657,17
29544,17
95194,17
85884,17
30869,17
72758,17
84561,17
2347,17
54558,17
28453,17
23635,17
41199,17
61239,17
8026,17
79564,17
19514,17
60124,17
45618,17
45874,17
63582,17
34264,17
78351,17
18129,17
64151,17
42952,17
45652,17
26051,17
77129,17
96351,17
42819,17
30390,17
7036,17
16422,17
95395,17
75719,17
64915,17
4864,17
20015,17
5135,17
8925,17
85543,17
54690,17
92791,17
86601,17
53736,17
12280,17
45232,18
804,18
871,18
13529,18
86657,18
29421,18
16127,18
5747,18
50985,18
54663,18
44470,18
1586,18
13292,18
40634,18
46489,18
74166,18
34445,18
81545,18
59607,18
78765,18
8472,18
47818,18
87099,18
72566,18
57516,18
32250,18
48291,18
37853,18
2817,18
259,18
32707,18
96476,18
16378,18
61931,18
54628,18
45548,18
36698,18
30379,18
4014,18
99657,18
90608,18
89834,18
37968,18
41609,18
3642,18
95015,18
88476,18
35623,18
49882,18
56813,18
81680,18
82707,18
50987,18
79206,19
80104,19
51934,19
36743,19
16219,19
94146,19
26323,19
32077,19
17620,19
84790,19
53162,19
66885,19
75335,19
43803,19
95500,19
14998,19
3449,19
30666,19
99817,19
88707,19
6397,19
52292,19
23845,19
52163,19
41009,19
32652,19
4609,19
32019,19
80585,19
8823,19
2558,19
73908,19
13933,19
33982,19
265,19
78992,19
97390,19
30600,19
26724,19
36482,19
47734,19
69801,19
95915,19
3160,19
88185,19
37350,19
50980,19
87993,19
34128,19
65986,20
13199,20
67754,20
72618,20
15415,20
48381,20
48487,20
46279,20
97369,20
61728,20
9920,20
31089,20
60325,20
15921,20
79405,20
20615,20
98765,20
6886,20
63332,20
49776,20
17942,20
41952,20
91724,20
63078,20
17220,20
75406,20
96418,20
3094,20
84979,20
40467,20
90610,20
74455,20
72565,20
73211,20
90315,20
99873,20
79898,20
45102,20
22459,20
6674,20
84780,20
34357,20
15822,20
82907,20
82799,20
46698,20
88551,20
16839,20
23111,20
38377,20
42497,20
15994,20
60963,21
58905,21
39421,21
47094,21
56404,21
3490,21
76867,21
79184,21
27065,21
5601,21
81330,21
49336,21
13634,21
1386,21
99728,21
82857,21
549,21
85892,21
40699,21
92022,21
60178,21
53192,21
70398,21
10281,21
67054,21
70092,21
34450,21
67084,21
70485,21
74115,21
210,21
24651,21
3291,21
79946,21
46315,21
16677,21
72367,21
71802,21
92993,21
33761,21
41335,21
26183,21
40632,21
12452,21
53687,21
78655,21
16271,22
28164,22
87590,22
92698,22
66248,22
74696,22
19246,22
81053,22
7768,22
37984,22
57187,22
22428,22
23224,22
63403,22
